"DV","Visual_Factor","Auditory_Factor","Haptic_Factor","response","SE","df","lower.CL","upper.CL"
"SUS","Transparent","Yes","Yes",80.8291026281014,2.24535130440104,123.689166429709,76.34703900268,85.2377712161309
"SUS","Transparent_Flashing","Yes","Yes",80.5951742248074,2.24730446872338,123.689166429709,76.1090646404344,85.007546972944
"TRUST","Baseline","No","No",3.58479578578834,0.25655981312626,48.2577872607702,3.04178852305298,4.078788964499
"TRUST","Flashing","No","No",3.87804991380992,0.248389075400738,51.7658929197374,3.35638568108824,4.3575325963672
"TRUST","Transparent","No","No",3.60563236244135,0.257148968551202,49.3575327350491,3.06181527043654,4.10055703698887
"TRUST","Transparent_Flashing","No","No",4.10862588300933,0.234794389619479,48.2577872607702,3.6172263204251,4.56441845116273
"TRUST","Baseline","Yes","No",5.65925858037239,0.153363537676865,71.2367759281672,5.34787329223987,5.95988079480134
"TRUST","Flashing","Yes","No",5.52869992171369,0.154331031367735,69.0535805597669,5.2149982778883,5.83123114347971
"TRUST","Transparent","Yes","No",5.86485315971334,0.148522098778501,69.0535805597669,5.56350067009003,6.15645733246512
"TRUST","Transparent_Flashing","Yes","No",5.6375813780115,0.152386987979893,69.0535805597669,5.3280214655137,5.93646242537143
"TRUST","Baseline","No","Yes",5.07044614326785,0.195448943003548,51.2496653735436,4.66761197668728,5.45345780201983
"TRUST","Flashing","No","Yes",5.04071984527197,0.196197367003087,51.2496653735434,4.63623355763371,5.42511192276487
"TRUST","Transparent","No","Yes",4.89240195308524,0.200043274190316,51.2496653735436,4.47939998528964,5.28387047868482
"TRUST","Transparent_Flashing","No","Yes",5.22832374334732,0.192798605934839,52.4600630115382,4.83165610513073,5.60631346184522
"TRUST","Baseline","Yes","Yes",5.94870773338362,0.162128915154996,57.8531691240562,5.61814452540167,6.26773519370007
"TRUST","Flashing","Yes","Yes",5.98113708028997,0.161556987406827,57.8531691240562,5.65179582124788,6.29908640011089
"TRUST","Transparent","Yes","Yes",6.02747909502832,0.160748516733282,57.8531691240562,5.69986390406673,6.3439034161041
"TRUST","Transparent_Flashing","Yes","Yes",6.05416253379043,0.160287641296765,57.8531691240562,5.72753064390444,6.36971702021014
