condition,score,rank,method,weight
Transparent_Flashing|Yes|No,0.2913881009319942,7,PCA,"0.157473557269868,0.153474919886593,0.155656892654745,0.157245909645042,0.158412718564462,0.108393660734205,0.109342341245085"
Baseline|No|Yes,0.01598884607535875,9,PCA,"0.157473557269868,0.153474919886593,0.155656892654745,0.157245909645042,0.158412718564462,0.108393660734205,0.109342341245085"
Flashing|No|Yes,-0.13592158181669345,11,PCA,"0.157473557269868,0.153474919886593,0.155656892654745,0.157245909645042,0.158412718564462,0.108393660734205,0.109342341245085"
Transparent|No|Yes,-0.2546933140398286,12,PCA,"0.157473557269868,0.153474919886593,0.155656892654745,0.157245909645042,0.158412718564462,0.108393660734205,0.109342341245085"
Transparent_Flashing|No|Yes,-0.1255064758362451,10,PCA,"0.157473557269868,0.153474919886593,0.155656892654745,0.157245909645042,0.158412718564462,0.108393660734205,0.109342341245085"
Baseline|Yes|Yes,0.6888067350256001,2,PCA,"0.157473557269868,0.153474919886593,0.155656892654745,0.157245909645042,0.158412718564462,0.108393660734205,0.109342341245085"
Flashing|Yes|Yes,0.6743935422149062,3,PCA,"0.157473557269868,0.153474919886593,0.155656892654745,0.157245909645042,0.158412718564462,0.108393660734205,0.109342341245085"
Transparent|Yes|Yes,0.78631323505926,1,PCA,"0.157473557269868,0.153474919886593,0.155656892654745,0.157245909645042,0.158412718564462,0.108393660734205,0.109342341245085"
Transparent_Flashing|Yes|Yes,0.5852587844889197,4,PCA,"0.157473557269868,0.153474919886593,0.155656892654745,0.157245909645042,0.158412718564462,0.108393660734205,0.109342341245085"
Baseline|No|No,0.6844205144987955,5,ObjectiveOnly,NA
Flashing|No|No,0.6642089747556125,8,ObjectiveOnly,NA
Transparent|No|No,0.47860959273813464,14,ObjectiveOnly,NA
Transparent_Flashing|No|No,0.2962790939242442,16,ObjectiveOnly,NA
Baseline|Yes|No,0.6466498855607031,9,ObjectiveOnly,NA
Flashing|Yes|No,0.7253904218924332,3,ObjectiveOnly,NA
Transparent|Yes|No,0.5551962542692117,11,ObjectiveOnly,NA
Transparent_Flashing|Yes|No,0.644704344235714,10,ObjectiveOnly,NA
Baseline|No|Yes,0.6812320483576068,6,ObjectiveOnly,NA
Flashing|No|Yes,0.5119610171936513,12,ObjectiveOnly,NA
Transparent|No|Yes,0.4790438678491825,13,ObjectiveOnly,NA
Transparent_Flashing|No|Yes,0.42993671403520084,15,ObjectiveOnly,NA
Baseline|Yes|Yes,0.7466548647959709,2,ObjectiveOnly,NA
Flashing|Yes|Yes,0.7199465502809028,4,ObjectiveOnly,NA
Transparent|Yes|Yes,0.7569882405814174,1,ObjectiveOnly,NA
Transparent_Flashing|Yes|Yes,0.67656827687627,7,ObjectiveOnly,NA
